"menu parent","description","more details","price"
"Margherita Pizza","Cheese & tomato Vegetarian","10""","£9.00"
"Burger Meal","Any burger Fries Can of drink","Double","£5.50"
"Kebab Meal","Any medium kebabs (excluding shish), fries & a can of drink"," ","£6.00"
"Mixed Meal","2 Medium kebabs (donner kebab or chicken donner), 2 x quarter pounder burgers, 4 chips & 4 cans"," ","£19.00"
"2 x Pizzas","2 x Pizzas with 4 toppings, 2 medium kebabs (excluding shish kebab), 4 chips & 4 cans of drink","10""","£20.00"
"Any 1 Pizza","From set menu","10""","£6.70"
"Wrap Meal","Any roly poly Chips Can of drink","10""","£4.50"
"Spicy Chicken Pizza","Chicken, mushroom & onion","10""","£12.00"
"Traditional Pizza","Turkey ham, pepperoni, mixed peppers & mushrooms","10""","£12.00"
"Meaty Pizza","Donner kebab, turkey ham & pepperoni","10""","£12.00"
"Boston Beef Pizza","Onion, mushroom, green peppers, spicy sausage, pepperoni, turkey ham, green chillies & lamb","10""","£14.00"
"Mario's Special Pizza","Pepperoni, mushroom, olives, turkey ham, onions, sweetcorn, green peppers & pineapple","10""","£14.00"
"Margherita Pizza","Cheese & tomato Vegetarian","10""","£9.00"
"Burger Meal","Any burger Fries Can of drink","Double","£5.50"
"Kebab Meal","Any medium kebabs (excluding shish), fries & a can of drink"," ","£6.00"
"Mixed Meal","2 Medium kebabs (donner kebab or chicken donner), 2 x quarter pounder burgers, 4 chips & 4 cans"," ","£19.00"
"2 x Pizzas","2 x Pizzas with 4 toppings, 2 medium kebabs (excluding shish kebab), 4 chips & 4 cans of drink","10""","£20.00"
"Any 1 Pizza","From set menu","10""","£6.70"
"Wrap Meal","Any roly poly Chips Can of drink","10""","£4.50"
"Spicy Chicken Pizza","Chicken, mushroom & onion","10""","£12.00"
"Traditional Pizza","Turkey ham, pepperoni, mixed peppers & mushrooms","10""","£12.00"
"Meaty Pizza","Donner kebab, turkey ham & pepperoni","10""","£12.00"
"Boston Beef Pizza","Onion, mushroom, green peppers, spicy sausage, pepperoni, turkey ham, green chillies & lamb","10""","£14.00"
"Mario's Special Pizza","Pepperoni, mushroom, olives, turkey ham, onions, sweetcorn, green peppers & pineapple","10""","£14.00"
