"LAWN+ENFORCEMENT+AGENCY+INC
","Lawn Enforcement Agency","(386) 672-3006"," 														Ormond Beach , 							FL , 32174 						"
"BRITTI+GABRIEL+ANTHONY
","No Data"
"FENEX+CHRISTIAN
","Christian Fenex &amp; Assoc","(772) 283-2977"," 															 									3401 SW 72nd Ave								 
 															Palm City , 							FL , 34990 						"
"QER+HOLDINGS+LLC+A+FLORIDA+LIMITED+LIABILITY+COMPANY
","No Data"
"DIXIE-INDUSTRIAL+PROPERTIES+LLC
","No Data"
"MARTINEZ+LAWN+MAINTENANCE+INC
","Federico Martinez Landscaping","(407) 486-9682"," 														Orlando , 							FL , 32801 						"
"MEDINA-DIAZ+APARTMENTS+INC
","No Data"
"LA+PORTA+MERCEDES+C
","No Data"
"AYEMA+&+O+ENTERPRISE+LLC
","No Data"
"MAYE+&+O+ENTERPRISE+LLC
",,,
"MEDINA-DIAZ+APARTMENTS+INC
","No Data"
"SOUSA-FLORA+KELLY
","No Data"
"AKSHAR+PHARMA+LLC
","No Data"
"MIDWAY+REALTY+HOLDINGS+LLC
","No Data"
"CUBEBUILDERS+II+LLC
","No Data"
"UNIVERSITY+VILLAGE+INVESTMENTS+LLC
","No Data"
"MELBOURNE+COMMONS+LLC
","No Data"
"COGSWELL+MICHAEL+ANTHONY
","No Data"
"KENDALL+UNITED+METHODIST+CHURCH+CORPORATION+INC+A+FLORIDA+NON-PROFIT+COR
","No Data"
"OWENS+ANDREW+D
","No Data"
"AT+THE+BOULEVARD+INC
",,,
"FLETCHER+ERIC+D
","No Data"
"NGUYEN+MARK+SR
","No Data"
YULEE+JASZ+INC+A+FLORIDA+CORPORATION,"No Data"
